id,"partid","cond_order","cond_soepframe","soep_item",rating
127,"p98vdnfo6t","asp_judg","std","gen",1
128,"p1taj15j1d","asp_judg","std","gen",7
129,"pj761a7mlo","asp_judg","std","gen",5
130,"pvde81okc3","asp_judg","std","gen",7
131,"pemvdndov1","asp_judg","std","gen",4
132,"pncs0ht0r2","asp_judg","std","gen",10
133,"pjaipfg4ug","asp_judg","std","gen",9
134,"pga0e1dm62","asp_judg","std","gen",8
135,"pu5k586m01","asp_judg","std","gen",3
136,"p6mq9bhhpb","asp_judg","std","gen",3
137,"p42e0m765p","asp_judg","std","gen",4
138,"pl40upe2b5","asp_judg","std","gen",6
139,"pns0bk5bpg","asp_judg","std","gen",7
140,"p35a1ai7bf","asp_judg","std","gen",1
141,"p2qr5d02ht","asp_judg","std","gen",6
142,"pcqs85n21b","asp_judg","std","gen",1
143,"pf1ok9j6mf","asp_judg","std","gen",0
144,"piokq0dfpr","asp_judg","std","gen",8
145,"po0b5hvksl","asp_judg","std","gen",7
146,"po2avet7op","asp_judg","std","gen",9
147,"pm42618oco","asp_judg","std","gen",3
148,"ph81j4b6fb","asp_judg","std","gen",7
149,"pbkjfru1lp","asp_judg","std","gen",3
150,"pvojep7hrk","asp_judg","std","gen",4
151,"pokleml5q2","asp_judg","std","gen",4
152,"p5f7h569tl","asp_judg","std","gen",1
153,"p9i1pcugbb","asp_judg","std","gen",8
154,"p4oucjvdm1","asp_judg","std","gen",2
155,"p05gc4bgi5","asp_judg","std","gen",5
156,"papbma6ag3","asp_judg","std","gen",2
157,"pvmdov8kus","asp_judg","std","gen",8
158,"pdp9hri52g","asp_judg","std","gen",7
159,"pn5a9a3qva","asp_judg","std","gen",7
160,"piheliu2iq","asp_judg","std","gen",7
161,"p2chi38atk","asp_judg","std","gen",2
162,"ptqlp2k09d","asp_judg","std","gen",1
163,"pbai7dfvr0","asp_judg","std","gen",8
164,"p99pd2g2hd","asp_judg","std","gen",3
165,"p1sq8rc5qo","asp_judg","std","gen",0
166,"pf28ih4eu6","asp_judg","std","gen",10
167,"p420mfq59t","asp_judg","std","gen",6
168,"pbo5rcjj99","asp_judg","std","gen",0
169,"pjnmqtljgr","asp_judg","std","gen",10
