partid,cond_order,cond_soepframe,age,sex,yearsofedu,job,income,imc1,imc2,qual_focused,qual_effort,status,device,remembered,similarity,duration
pfun3j6ut0,asp_judg,std,34,male,18,employed,5k_x,correct,correct,100,100,done,desktop,0,69,383
ptqu4ourub,asp_judg,std,45,female,12,selfemployed,0_1k,correct,correct,100,100,done,laptop,27,31,277
pr1tt4np6b,asp_judg,std,25,male,16,employed,1k_2k,NA,NA,100,100,NA,laptop,3,80,NA
p62e2ukh8m,asp_judg,std,32,female,24,unemployed,1k_2k,correct,correct,87,45,done,laptop,31,8,202
p3bja1q3il,asp_judg,std,30,male,16,selfemployed,5k_x,NA,NA,NA,NA,NA,NA,NA,NA,NA
pc10skk9at,asp_judg,std,41,male,16,employed,3k_4k,NA,NA,NA,NA,NA,NA,NA,NA,NA
pohc5dnk6g,asp_judg,std,32,male,4,employed,1k_2k,wrong,correct,100,100,done,desktop,87,88,166
pi2gguep6a,asp_judg,std,70,female,14,retired,1k_2k,correct,correct,100,99,done,desktop,0,51,615
p8j43n1q2e,asp_judg,std,27,female,14,unemployed,0_1k,correct,correct,70,73,done,laptop,16,67,277
pilgv71l13,asp_judg,std,37,male,17,employed,1k_2k,correct,correct,84,88,done,laptop,0,50,222
p2rebuo7c3,asp_judg,std,48,male,14,employed,5k_x,correct,correct,100,100,done,laptop,62,63,342
pieg7b7s35,asp_judg,std,24,female,18,employed,3k_4k,correct,correct,100,78,done,laptop,11,60,272
pjkmi6p483,asp_judg,std,25,male,16,employed,5k_x,correct,correct,100,100,done,laptop,27,75,300
pae1oh4880,asp_judg,std,32,male,16,employed,1k_2k,correct,correct,100,100,done,desktop,0,92,94
pt8dna484n,asp_judg,std,40,male,16,employed,5k_x,correct,correct,91,75,done,desktop,37,75,486
pa0ckrqnqp,asp_judg,std,24,female,22,student,1k_2k,correct,correct,100,100,done,laptop,11,88,246
phgd1fotld,asp_judg,std,27,male,16,employed,3k_4k,NA,NA,NA,NA,NA,NA,NA,NA,NA
paah0tgdb0,asp_judg,std,30,male,20,employed,3k_4k,correct,correct,96,100,done,laptop,6,59,468
p76482i33p,asp_judg,std,27,female,16,employed,1k_2k,correct,correct,100,100,done,laptop,14,87,292
p01n5qi2cl,asp_judg,std,39,female,13,employed,0_1k,correct,correct,98,98,done,desktop,0,63,298
ptiaaae9ud,asp_judg,std,27,male,17,employed,1k_2k,correct,correct,100,100,done,desktop,12,70,540
p3dcqbv326,asp_judg,std,29,female,14,selfemployed,4k_5k,correct,correct,100,100,done,laptop,63,66,217
p8178lhu71,asp_judg,std,49,female,13,employed,0_1k,correct,correct,100,94,done,laptop,4,57,198
pmrojsjeh0,asp_judg,std,36,female,13,employed,4k_5k,correct,correct,100,100,done,laptop,0,87,179
p74ntiluak,asp_judg,std,33,female,12,unemployed,0_1k,correct,correct,96,96,done,laptop,8,96,490
pktvbaqfgq,asp_judg,std,37,male,16,employed,2k_3k,correct,correct,100,100,done,desktop,41,70,374
pkqk16c93v,asp_judg,std,29,female,13,employed,1k_2k,correct,correct,100,100,done,laptop,6,73,334
pojroad8av,asp_judg,std,56,female,12,unemployed,1k_2k,correct,correct,100,100,done,desktop,100,100,845
ps98rq7foh,asp_judg,std,30,male,16,employed,5k_x,correct,correct,100,90,done,desktop,30,78,175
ppq4ehuvoi,asp_judg,std,27,male,16,employed,3k_4k,correct,correct,100,100,done,desktop,30,58,753
pt4ok81osa,asp_judg,std,22,male,12,employed,2k_3k,correct,correct,100,100,done,desktop,76,65,140
pheqv1o4bi,asp_judg,std,45,male,16,employed,5k_x,correct,correct,99,97,done,laptop,10,81,400
p75s2qi84c,asp_judg,std,57,female,14,employed,0_1k,correct,correct,100,100,done,laptop,0,100,765
pti8q2pfad,asp_judg,std,26,male,17,employed,1k_2k,correct,correct,100,100,done,laptop,8,26,533
pjbuj9okvi,asp_judg,std,25,female,16,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA,NA,NA
pr4ak5i3sl,asp_judg,std,26,female,16,employed,3k_4k,correct,correct,89,80,done,laptop,25,100,236
p98vdnfo6t,asp_judg,std,40,female,15,employed,3k_4k,correct,correct,100,100,done,laptop,80,86,128
pj761a7mlo,asp_judg,std,25,female,19,employed,4k_5k,correct,correct,75,86,done,laptop,42,33,380
p1taj15j1d,asp_judg,std,36,male,16,employed,1k_2k,correct,correct,100,100,done,desktop,0,46,247
p9i1pcugbb,asp_judg,std,28,male,17,employed,5k_x,correct,correct,74,73,done,laptop,31,79,165
p4oucjvdm1,asp_judg,std,29,male,16,employed,1k_2k,correct,correct,90,96,done,desktop,0,73,316
pvde81okc3,asp_judg,std,30,male,16,employed,3k_4k,correct,correct,88,93,done,laptop,15,37,325
pemvdndov1,asp_judg,std,36,female,17,unemployed,0_1k,correct,correct,71,78,done,desktop,0,49,293
ptmnc45138,asp_judg,std,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
