partid,rating_s2,n_seeking_s2,n_avoiding_s2,m_risk_s2,s_risk_s2,p_control_s2,p_social_s2,p_situation_s2,med_frequency_s2,p_active_s2,mean_sentiment_s2,n_aspects_s2,m_aspects_s2,s_aspects_s2,remembered,similarity,rating_s1,n_seeking_s1,n_avoiding_s1,m_risk_s1,s_risk_s1,p_control_s1,p_social_s1,p_situation_s1,med_frequency_s1,p_active_s1,mean_sentiment_s1,n_aspects_s1,m_aspects_s1,s_aspects_s1,pred_VUM_s1,pred_VUM_s2,m_similarity_between,m_similarity_within_s1,m_similarity_within_s2,p_overlap_between,p_overlap_within_s1,p_overlap_within_s2,delta_rating,delta_VUM
p4oucjvdm1,2,0,2,-40,-80,0.5,1,0,5.5,1,-1,2,-1,-2,0,73,1,0,2,-44.5,-89,0.5,0,1,2.5,0.5,-1,2,-1,-2,-44.145963996506524,-39.93562981754664,2.5833333333333335,1.3333333333333333,3.3333333333333335,0,0,0,1,4.210334178959883
p59eed6ltn,8,3,0,41.333333333333336,124,0.6666666666666666,0,0,3,0.6666666666666666,-1,3,1,3,6,30,3,0,3,-28.333333333333332,-85,1,0,0,2,1,1,3,-1,-3,-29.407624854599792,40.78046747797114,2.111111111111111,3.2222222222222223,2.5555555555555554,0,0,0,5,70.18809233257093
p5f7h569tl,1,0,8,-43.125,-345,0.625,0,1,2,0.625,-1.75,8,-1,-8,40,38,1,0,3,-50,-150,0.3333333333333333,0,1,2,0.3333333333333333,-1,3,-1,-3,-50,-41.986090782440286,1.5833333333333333,2.333333333333333,1.2619047619047619,0,0,0,0,8.013909217559714
p5pi6t9gsd,1,0,3,-39,-117,1,0,0,3,1,0.3333333333333333,3,-1,-3,1,81,1,0,4,-43.5,-174,1,0,0.25,3,1,-0.75,4,-1,-4,-43.472620898880166,-38.65659228650616,3.5277777777777777,3.8333333333333335,3.555555555555556,0,0.25,0,0,4.816028612374005
p5po8b0u17,10,3,0,40.333333333333336,121,0.3333333333333333,0,1,2,1,0.5,3,1,3,2,70,9,4,0,41,164,0.75,0,1,2.5,1,1,4,1,4,41.48263896037067,40.48540496181711,3.2222222222222223,2.388888888888889,3.2222222222222223,0,0,0,1,0.9972339985535612
p6k4qd8b38,1,0,2,-43.5,-87,0.5,0,0.5,6,0.5,-1,2,-1,-2,89,81,3,0,4,-32.5,-130,1,1,0.3333333333333333,1,0.5,-1,4,-1,-4,-31.59741686436371,-43.081593814053164,3.3333333333333335,3.2222222222222223,4,0,0,0,2,11.484176949689456
p6mq9bhhpb,3,0,3,-31.333333333333332,-94,1,0,0,2,1,-1,3,-1,-3,29,56,5,0,4,-21.5,-86,1,0,0,2,0.75,-2,4,-1,-4,-20.2993322494029,-31.241486287681123,2.3333333333333335,2.388888888888889,2.5555555555555554,0,0,0,2,10.942154038278222
p6n96ubl38,6,2,0,26,52,1,1,1,3.5,0,-0.5,2,1,2,61,67,6,1,1,2,4,0.5,0,1,3.5,0.5,-1,2,0,0,0.8413367158395246,25.16318762810632,3.083333333333333,3.6666666666666665,3.3333333333333335,0,0,0,0,24.321850912266797
p74ntiluak,3,0,2,-41,-82,NaN,0.5,0,NA,1,-0.5,2,-1,-2,8,96,3,0,1,-37,-37,NaN,0,0,NA,NaN,-1,1,-1,-1,-37,-40.93562981754664,4.333333333333333,NA,4.333333333333333,0,NA,0,0,3.9356298175466407
p75s2qi84c,1,0,10,-48.1,-481,0.9,0,0.2,3,1,-1.7,10,-1,-10,0,100,0,0,3,-50,-150,0,0,0,6,NaN,-2.3333333333333335,3,-1,-3,-50,-47.66248933545648,2.6444444444444444,2.7777777777777777,2.488888888888889,0,0,0.1,1,2.3375106645435224
