partid,age,sex,rating,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_control,p_social,p_situation,med_frequency,p_active,mean_sentiment,min_sentiment,max_sentiment,SMRD,aspect_ind,yearsofedu,job,income,n_aspects,remembered,similarity,duration
pvmdov8kus,45,male,8,3,0,3,1,46.666666666666664,140,0.6666666666666666,0.3333333333333333,1,3.5,0.6666666666666666,-1.6666666666666667,-3,-1,1,3,16,unemployed,0_1k,3,9,24,287
pvsp7i8pvn,57,female,2,0,4,-4,-1,-33.25,-133,0.75,0.25,0.3333333333333333,2,0.75,-0.75,-2,0,-1,4,17,selfemployed,1k_2k,4,6,90,943
p3lera2r97,37,female,0,0,5,-5,-1,-50,-250,0.8,0,0,1,0.8,0,-1,1,-1,5,18,employed,5k_x,5,0,100,254
pj0s9l55ia,27,female,2,0,3,-3,-1,-9.666666666666666,-29,1,0,0,3,1,1,1,1,-1,3,16,selfemployed,0_1k,3,14,28,241
p2igo6qgaa,46,female,6,3,3,0,0,-0.8333333333333334,-5,0.6666666666666666,0,1,2,1,-1,-1,-1,-0.3333333333333333,6,16,employed,3k_4k,6,0,66,379
ptoru8sg0c,32,male,5,2,4,-2,-0.3333333333333333,-4.166666666666667,-25,0.5,0.16666666666666666,0.5,3,0.8333333333333334,1,1,1,0,6,15,employed,2k_3k,6,40,68,428
pcvfb8p5b5,32,male,1,0,2,-2,-0.6666666666666666,-33.333333333333336,-100,0,0,0,NA,0,-1,-2,0,-1.25,3,12,unemployed,0_1k,3,39,73,478
pda8fk4eha,41,male,5,3,0,3,1,10.666666666666666,32,1,0.3333333333333333,1,2,1,-1,-1,-1,1,3,15,student,4k_5k,3,0,46,239
ps0k8ig481,32,male,10,3,0,3,1,43.333333333333336,130,NaN,0,0,NA,NaN,1,1,1,1,3,12,employed,3k_4k,3,0,61,417
pp6jirdmle,28,male,7,1,0,1,1,47,47,1,0,0,4,1,NaN,Inf,-Inf,1,1,16,employed,2k_3k,1,0,19,154
p2cuoibpid,25,female,3,0,3,-3,-1,-18,-54,0.6666666666666666,0,0.3333333333333333,3,0.6666666666666666,-1.5,-2,-1,-1,3,16,employed,3k_4k,3,21,78,284
pokc96mq5l,27,male,1,0,4,-4,-1,-37.75,-151,0.5,0,0.5,1,0.5,-3,-3,-3,-1,4,16,employed,1k_2k,4,21,69,243
p62e2ukh8m,32,female,1,0,2,-2,-1,-38,-76,1,0,0,1.5,0,NaN,Inf,-Inf,-1,2,24,unemployed,1k_2k,2,31,8,202
pilgv71l13,37,male,7,2,1,1,0.3333333333333333,7.333333333333333,22,0.6666666666666666,0,1,3,1,NaN,Inf,-Inf,1,3,17,employed,1k_2k,3,0,50,222
pa0ckrqnqp,24,female,2,0,4,-4,-1,-31.5,-126,0.25,1,0.75,2,0.5,-1,-1,-1,-1,4,22,student,1k_2k,4,11,88,246
p9i1pcugbb,28,male,8,3,0,3,1,41,123,0,0,1,3,1,NaN,Inf,-Inf,1,3,17,employed,5k_x,3,31,79,165
p42e0m765p,68,female,4,4,3,1,0.14285714285714285,-2.857142857142857,-20,0.6666666666666666,0.14285714285714285,1,4,1,-0.6,-2,1,1,7,14,retired,2k_3k,7,4,61,785
po0b5hvksl,33,female,7,5,0,5,1,31.6,158,0.6,0,0.4,2,0.4,-0.25,-2,1,1,5,18,employed,3k_4k,5,26,72,183
pbkjfru1lp,38,female,3,1,4,-3,-0.6,-28.8,-144,1,0,0,1,1,0,-1,1,-1,5,16,employed,3k_4k,5,0,77,442
pvojep7hrk,70,female,4,2,2,0,0,5.5,22,1,0,1,6,1,-0.3333333333333333,-1,1,-0.5,4,12,selfemployed,3k_4k,4,17,53,462
p05gc4bgi5,30,female,5,1,2,-1,-0.3333333333333333,-18.333333333333332,-55,0.6666666666666666,0,1,1,1,NaN,Inf,-Inf,0,3,16,employed,5k_x,3,17,36,122
