partid,age,sex,rating,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_control,p_social,p_situation,med_frequency,p_active,mean_sentiment,min_sentiment,max_sentiment,SMRD,aspect_ind,yearsofedu,job,income,n_aspects,duration
p5pi6t9gsd,50,female,1,0,4,-4,-1,-43.5,-174,1,0,0.25,3,1,-0.75,-2,0,-1,4,14,unemployed,0_1k,4,416
p621b25c9i,34,female,2,0,4,-4,-1,-30.25,-121,1,0,0,3.5,0,-1.75,-2,-1,-1,4,19,selfemployed,1k_2k,4,332
p62e2ukh8m,32,female,2,0,2,-2,-1,-38,-76,0,0,0,3,0,-2.5,-4,-1,-1,2,16,unemployed,1k_2k,2,275
p668rikpgd,26,female,1,0,3,-3,-1,-48.666666666666664,-146,0,0,0.6666666666666666,4,0.3333333333333333,-2,-3,-1,-1,3,16,selfemployed,1k_2k,3,257
p689b7tigi,21,male,7,3,1,2,0.5,25,100,1,0.6666666666666666,0.75,2.5,1,-0.3333333333333333,-1,1,0.5,4,12,employed,1k_2k,4,296
p6ivk3kle6,25,male,10,1,0,1,1,49,49,0,0,1,2,0,-1,-1,-1,1,1,14,employed,1k_2k,1,226
p6k4qd8b38,33,male,3,0,4,-4,-1,-32.5,-130,1,1,0.3333333333333333,1,0.5,-1,-1,-1,-1,4,16,employed,5k_x,4,275
p6m4o06g2k,30,female,8,3,0,3,1,35.666666666666664,107,1,0,1,2,1,-1.3333333333333333,-2,-1,1,3,16,selfemployed,5k_x,3,574
p6n96ubl38,55,female,6,1,1,0,0,2,4,0.5,0,1,3.5,0.5,-1,-1,-1,1,2,12,employed,2k_3k,2,286
p6tg7dmknn,25,male,1,0,1,-1,-1,-50,-50,1,0,0,1,1,-1,-1,-1,-1,1,16,employed,3k_4k,1,252
p6vnbnqvv2,73,male,2,0,3,-3,-1,-38.333333333333336,-115,0.6666666666666666,0,0.3333333333333333,4,0.3333333333333333,-1.6666666666666667,-2,-1,-1,3,20,retired,4k_5k,3,394
p71jh3giea,25,male,5,0,1,-1,-1,-19,-19,1,0,1,2,0,-1,-1,-1,-1,1,12,employed,2k_3k,1,93
p74ntiluak,33,female,3,0,1,-1,-1,-37,-37,NaN,0,0,NA,NaN,-1,-1,-1,-1,1,12,unemployed,0_1k,1,187
p75s2qi84c,57,female,0,0,3,-3,-1,-50,-150,0,0,0,6,NaN,-2.3333333333333335,-3,-2,-1,3,15,employed,4k_5k,3,321
p76482i33p,27,female,2,0,3,-3,-1,-35,-105,0,0,0,NA,0.3333333333333333,-1.6666666666666667,-2,-1,-1,3,16,employed,1k_2k,3,254
p764r6onl3,50,male,1,0,2,-2,-1,-50,-100,0.5,0,0,5,0,-1,-1,-1,-1,2,18,selfemployed,2k_3k,2,351
p775e7r08j,23,male,0,0,2,-2,-1,-50,-100,NaN,1,1,NA,NaN,-1.5,-2,-1,-1,2,18,employed,3k_4k,2,472
p7dan4d83h,25,female,0,0,1,-1,-1,-50,-50,1,0,0,2,0,-1,-1,-1,-1,1,14,selfemployed,1k_2k,1,96
p7evqmdeek,32,male,10,5,0,5,1,41.8,209,0.8,0.2,1,3,0.8,-1,-1,-1,1,5,12,employed,3k_4k,5,266
p7fh2ooref,58,female,3,2,8,-6,-0.5,-18.75,-225,0.75,0.08333333333333333,1,5,1,-1.3333333333333333,-4,1,0,12,16,retired,1k_2k,12,1530
p7jvn0ukre,42,male,1,0,3,-3,-1,-50,-150,1,0,0,1,1,-1.3333333333333333,-2,0,-1,3,12,employed,2k_3k,3,476
p7lla7nfcj,21,female,4,2,4,-2,-0.3333333333333333,0.6666666666666666,4,0.4,0,0.6666666666666666,3,1,-1.2,-2,-1,-0.16666666666666666,6,16,employed,0_1k,6,707
p7loem1g49,60,female,1,0,4,-4,-1,-36,-144,0.5,0,0.6666666666666666,2.5,0.6666666666666666,-1,-2,0,-1,4,16,selfemployed,1k_2k,4,410
p7ola58i6r,44,female,1,0,4,-4,-1,-49.5,-198,1,0.75,0.75,6,0.5,-0.5,-1,1,-1,4,16,employed,0_1k,4,369
p7u54fcc4q,65,female,4,5,3,2,0.25,10.125,81,0.375,0.25,0.25,3,0.6,-0.42857142857142855,-2,1,-0.75,8,14,employed,2k_3k,8,686
p8178lhu71,49,female,1,0,2,-2,-1,-49,-98,1,1,0,2,1,0,-1,1,-1,2,13,employed,0_1k,2,258
p81792oc4t,36,female,2,0,4,-4,-1,-49.75,-199,1,0,0,2.5,1,-0.25,-1,0,-1,4,12,employed,2k_3k,4,547
p876nerobm,48,male,6,2,1,1,0.3333333333333333,-4.666666666666667,-14,1,0,0,3,1,-1,-2,0,-1,3,15,employed,3k_4k,3,430
p8bjleaivo,37,female,2,0,5,-5,-1,-49,-245,0,1,0.8,5,0.8,-2.2,-3,-1,-1,5,14,selfemployed,1k_2k,5,601
p8j43n1q2e,27,female,2,0,5,-5,-1,-25.6,-128,0,0,0.6,3,0.6,-1,-1,-1,-1,5,14,unemployed,0_1k,5,324
p95594cp0p,37,male,9,5,0,5,1,26.8,134,0.4,0,0,1,0.6,-0.6,-1,0,1,5,13,employed,2k_3k,5,407
p961d9h451,32,male,10,5,0,5,1,50,250,0.8,0.6,1,1,1,0.8,-2,2,1,5,16,employed,5k_x,5,758
p98vdnfo6t,40,female,1,0,4,-4,-1,-37.25,-149,1,0,0,2,1,-1.25,-3,0,-1,4,16,employed,3k_4k,4,222
p99pd2g2hd,33,male,4,0,2,-2,-1,-50,-100,1,0,1,2,1,-1,-2,0,-1,2,16,employed,1k_2k,2,283
p9i1pcugbb,30,male,8,2,0,2,1,18,36,1,0,0.5,1,1,0,-1,1,1,2,18,employed,5k_x,2,126
pa0ckrqnqp,24,female,0,0,5,-5,-1,-50,-250,0,0.75,0.4,5,0.75,-1.4,-3,1,-1,5,18,student,1k_2k,5,511
paah0tgdb0,29,male,3,0,6,-6,-1,-20.166666666666668,-121,1,0,1,2,1,-0.75,-2,1,-1,6,20,employed,3k_4k,6,594
pae1oh4880,32,male,1,0,4,-4,-1,-44.5,-178,0,0,1,6,0,-1.75,-3,-1,-1,4,16,employed,1k_2k,4,158
paeds93mh8,27,female,6,1,1,0,0,3.3333333333333335,10,1,0,0.6666666666666666,6,0.6666666666666666,-2,-2,-2,-0.6666666666666666,3,20,employed,0_1k,3,723
pajlcbu2t0,33,male,6,3,0,3,1,17,51,1,0,1,5,1,-0.3333333333333333,-1,0,1,3,12,employed,2k_3k,3,249
paktl8bjj7,27,female,1,0,2,-2,-1,-50,-100,0,0.5,1,1,1,-0.5,-1,0,-1,2,17,employed,2k_3k,2,141
palvq0qt8k,34,male,7,3,0,3,1,36,108,1,0,0,1,1,-0.3333333333333333,-1,0,1,3,16,selfemployed,4k_5k,3,344
papbma6ag3,37,female,1,0,2,-2,-1,-42.5,-85,0.5,0.5,1,2.5,0.5,-1.5,-2,-1,-1,2,16,selfemployed,2k_3k,2,198
paq7t1fa6i,36,male,2,0,3,-3,-1,-33,-99,0.3333333333333333,0.3333333333333333,0.5,1.5,0.3333333333333333,-0.3333333333333333,-1,0,-1,3,4,employed,3k_4k,3,575
pbai7dfvr0,42,male,8,6,0,6,1,32,192,0.6666666666666666,0.5,1,3,0.8333333333333334,0,-1,1,1,6,20,employed,5k_x,6,286
pbo5rcjj99,34,female,0,0,1,-1,-1,-49,-49,0,1,0,6,1,0,0,0,-1,1,16,employed,1k_2k,1,386
pbueln0nn6,64,female,3,0,2,-2,-1,-32,-64,0,0,0.5,3,1,-2,-2,-2,-1,2,13,selfemployed,0_1k,2,258
pbv2l7v8b7,31,female,7,2,0,2,1,39.5,79,0.5,0,1,3,1,-1,-2,0,1,2,15,employed,2k_3k,2,347
pc6644v8tl,48,female,1,0,6,-6,-1,-41.333333333333336,-248,0.75,0.25,1,5,0.5,-2,-3,0,-1,6,13,employed,1k_2k,6,764
pc8udbdtju,45,male,1,0,3,-3,-1,-45,-135,0.3333333333333333,0,0.3333333333333333,6,0,-1.3333333333333333,-2,-1,-1,3,16,employed,5k_x,3,476
pcq03ude4t,42,male,8,4,0,4,1,38.75,155,1,0.25,1,2,1,-0.25,-2,1,1,4,18,employed,4k_5k,4,269
pcq9uj020s,44,male,1,0,3,-3,-1,-42.666666666666664,-128,0.6666666666666666,0,0.3333333333333333,2,1,-1.6666666666666667,-2,-1,-1,3,16,employed,5k_x,3,295
pcqs85n21b,43,male,1,0,7,-7,-1,-50,-350,1,0,0,NA,NaN,-0.42857142857142855,-2,1,-1,7,12,employed,2k_3k,7,716
pcvfb8p5b5,32,male,2,0,3,-3,-1,-41.333333333333336,-124,NaN,0,0,2,NaN,-0.6666666666666666,-1,0,-1,3,12,unemployed,0_1k,3,396
pda8fk4eha,40,male,6,2,2,0,0,-5.5,-22,1,0.25,0.5,2.5,1,-1,-1,-1,0,4,15,student,5k_x,4,368
pddp1iltbm,39,female,0,0,2,-2,-1,-50,-100,1,0,0,NA,1,-0.5,-1,0,-1,2,15,employed,1k_2k,2,219
pdk8em8rrq,58,female,2,0,8,-8,-1,-39.75,-318,1,0,0.75,2,0.8571428571428571,-0.75,-2,1,-1,8,14,employed,2k_3k,8,724
pdliik9kne,67,male,3,0,3,-3,-1,-32,-96,1,0,1,3,1,-1,-1,-1,-1,3,16,retired,1k_2k,3,594
pdqk6hs9e4,51,female,1,0,4,-4,-1,-49,-196,1,0,0.25,2.5,1,-2,-3,-1,-1,4,14,selfemployed,1k_2k,4,408
pe142cqfak,55,female,2,0,3,-3,-1,-10.666666666666666,-32,1,0,0,1,0.6666666666666666,-1.6666666666666667,-2,-1,-1,3,12,retired,1k_2k,3,391
pe996fld73,56,female,2,0,4,-4,-1,-50,-200,1,0,0,3,1,-1.5,-2,-1,-1,4,16,employed,1k_2k,4,367
pel92bgn51,34,male,1,0,5,-5,-1,-42.2,-211,0.6,1,1,1,0.6,-1,-2,0,-1,5,16,employed,2k_3k,5,299
pemvdndov1,36,female,6,1,3,-2,-0.5,-10.25,-41,0.6666666666666666,0,0.5,4,0.6666666666666666,-1.5,-2,-1,-1,4,16,employed,0_1k,4,623
pes7cp1ohf,40,male,1,0,3,-3,-1,-21.333333333333332,-64,1,0,0,1,0.3333333333333333,0.6666666666666666,0,1,-1,3,16,employed,2k_3k,3,241
pf0g5fnb18,52,male,7,4,0,4,1,36,144,0.5,0,1,3,1,-1,-3,0,1,4,18,employed,5k_x,4,486
pf0ncrbiki,40,female,0,0,2,-2,-1,-50,-100,1,0,1,1,1,2,1,3,-1,2,14,employed,1k_2k,2,228
pf1ok9j6mf,58,female,0,0,3,-3,-1,-50,-150,1,0,1,2,1,-1.6666666666666667,-3,0,-1,3,16,employed,3k_4k,3,344
pf28ih4eu6,27,male,10,11,0,11,1,50,550,1,0,0.5454545454545454,1,1,-0.8181818181818182,-2,1,1,11,16,employed,5k_x,11,753
pffu1o02vu,30,male,6,1,0,1,1,22,22,1,1,1,1,1,0,0,0,1,1,16,employed,3k_4k,1,103
pfg9qmo3qm,69,female,2,1,4,-3,-0.6,-24.6,-123,0.6,0.4,0.6,3,0.4,-1.25,-2,-1,-1,5,13,retired,1k_2k,5,684
pfn64lqsph,36,female,1,0,2,-2,-1,-31,-62,1,0,1,1,1,-0.5,-1,0,-1,2,16,selfemployed,0_1k,2,180
pfr0l0hae0,65,male,1,0,3,-3,-1,-49.333333333333336,-148,1,1,1,2,0,-2,-2,-2,-1,3,17,employed,2k_3k,3,672
pfun3j6ut0,34,male,7,2,1,1,0.3333333333333333,-0.3333333333333333,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.3333333333333333,-1,-1,-1,0,3,15,employed,5k_x,3,244
pg3evmk92s,30,male,6,2,1,1,0.3333333333333333,4.333333333333333,13,1,0,0,3,1,-1,-3,1,1,3,14,selfemployed,1k_2k,3,420
pga0e1dm62,37,male,7,4,0,4,1,21,84,1,0.25,0.25,1.5,1,-1,-1,-1,1,4,29,employed,5k_x,4,374
pgjsv4g3p0,49,female,1,0,3,-3,-1,-50,-150,0.6666666666666666,0,0,1,NaN,-1,-1,-1,-1,3,16,unemployed,0_1k,3,424
pgnjj2v38d,54,male,0,0,1,-1,-1,-40,-40,1,0,0,2,1,-1,-1,-1,-1,1,11,selfemployed,1k_2k,1,152
ph5g2uihje,27,male,1,0,5,-5,-1,-46.2,-231,0.8,0,1,3,0.6,-0.8,-1,0,-1,5,14,selfemployed,0_1k,5,548
ph5m9h66nm,26,male,7,2,0,2,1,16.5,33,0,1,0,2.5,0,-1,-1,-1,1,2,16,employed,2k_3k,2,146
ph81j4b6fb,32,male,3,0,3,-3,-1,-48.666666666666664,-146,1,0,0.5,3,0.6666666666666666,1.3333333333333333,1,2,-1,3,16,employed,2k_3k,3,566
