id,"partid","cond_order","cond_soepframe","soep_item",rating
44,"pqp37b82le","asp_judg","std","gen",1
45,"pjnmqtljgr","asp_judg","std","gen",9
46,"pueu1hkgjk","asp_judg","std","gen",6
47,"p95594cp0p","asp_judg","std","gen",9
48,"pm4s2hpf4p","asp_judg","std","gen",2
49,"pffu1o02vu","asp_judg","std","gen",6
50,"piokq0dfpr","asp_judg","std","gen",7
51,"pre5kgo540","asp_judg","std","gen",2
52,"pfun3j6ut0","asp_judg","std","gen",7
53,"ptiaaae9ud","asp_judg","std","gen",1
54,"pt4j0pokcj","asp_judg","std","gen",3
55,"p021ssajin","asp_judg","std","gen",1
56,"pv3l4i7h97","asp_judg","std","gen",1
57,"p59eed6ltn","asp_judg","std","gen",3
58,"pp09h8mu6v","asp_judg","std","gen",2
59,"pksurk0hbb","asp_judg","std","gen",2
60,"p1je6vsd0d","asp_judg","std","gen",8
61,"povck861kk","asp_judg","std","gen",7
62,"pte3172je3","asp_judg","std","gen",2
63,"pm42618oco","asp_judg","std","gen",4
64,"pdqk6hs9e4","asp_judg","std","gen",1
65,"psmasc3auq","asp_judg","std","gen",2
66,"ptoru8sg0c","asp_judg","std","gen",6
67,"pkgn4kq5r7","asp_judg","std","gen",3
68,"pda8fk4eha","asp_judg","std","gen",6
69,"pa0ckrqnqp","asp_judg","std","gen",0
70,"pjqfr36tuv","asp_judg","std","gen",6
71,"ph81j4b6fb","asp_judg","std","gen",3
72,"pha3pmd5r1","asp_judg","std","gen",5
73,"p2cpslioks","asp_judg","std","gen",0
74,"p3lera2r97","asp_judg","std","gen",0
75,"pnu8ljve5b","asp_judg","std","gen",3
76,"palvq0qt8k","asp_judg","std","gen",7
77,"p4t969ie19","asp_judg","std","gen",9
78,"pohc5dnk6g","asp_judg","std","gen",9
79,"pogc712epf","asp_judg","std","gen",1
80,"pspnd84g9s","asp_judg","std","gen",2
81,"p6m4o06g2k","asp_judg","std","gen",8
82,"ppu090ss8n","asp_judg","std","gen",2
83,"pfn64lqsph","asp_judg","std","gen",1
84,"pumidl9a5m","asp_judg","std","gen",3
85,"p6ivk3kle6","asp_judg","std","gen",10
86,"pdliik9kne","asp_judg","std","gen",3
87,"pemvdndov1","asp_judg","std","gen",6
88,"p3fk3o1bc9","asp_judg","std","gen",2
89,"p01n5qi2cl","asp_judg","std","gen",0
90,"pshkqcok6j","asp_judg","std","gen",7
91,"p24aloafpe","asp_judg","std","gen",9
92,"pn5a9a3qva","asp_judg","std","gen",7
93,"p9l4vlnsqe","asp_judg","std","gen",9
94,"p5f7kt8pmj","asp_judg","std","gen",7
95,"p5pi6t9gsd","asp_judg","std","gen",1
96,"p81792oc4t","asp_judg","std","gen",2
97,"pvsp7i8pvn","asp_judg","std","gen",3
98,"pr6sekml7n","asp_judg","std","gen",6
99,"p74ntiluak","asp_judg","std","gen",3
100,"p17frg3toe","asp_judg","std","gen",7
101,"pp552vm3jb","asp_judg","std","gen",2
102,"pojroad8av","asp_judg","std","gen",0
103,"ptqjgjf25d","asp_judg","std","gen",3
104,"p6tg7dmknn","asp_judg","std","gen",1
105,"pilgv71l13","asp_judg","std","gen",8
106,"ph5g2uihje","asp_judg","std","gen",1
107,"p6n96ubl38","asp_judg","std","gen",6
108,"pgnjj2v38d","asp_judg","std","gen",0
109,"p3fk04hrgs","asp_judg","std","gen",9
110,"p0g53tkf8o","asp_judg","std","gen",7
111,"pc8udbdtju","asp_judg","std","gen",1
112,"pjomiut9f3","asp_judg","std","gen",5
113,"p3st2t8d7r","asp_judg","std","gen",2
114,"plm290dpup","asp_judg","std","gen",6
115,"pvlbb9h2ok","asp_judg","std","gen",3
116,"pf1ok9j6mf","asp_judg","std","gen",0
117,"p9t0bkfqk0","asp_judg","std","gen",7
118,"p42f7pvrt2","asp_judg","std","gen",1
119,"psadrc62vh","asp_judg","std","gen",2
120,"psrrgsojv6","asp_judg","std","gen",10
121,"pq93i0114s","asp_judg","std","gen",10
122,"po0b5hvksl","asp_judg","std","gen",8
123,"p4b9eblea9","asp_judg","std","gen",5
124,"pktvbaqfgq","asp_judg","std","gen",2
125,"ptqu4ourub","asp_judg","std","gen",8
126,"pe142cqfak","asp_judg","std","gen",2
127,"p7fh2ooref","asp_judg","std","gen",3
128,"po45u0nri5","asp_judg","std","gen",4
129,"pns0bk5bpg","asp_judg","std","gen",6
130,"pn73cj70pg","asp_judg","std","gen",1
131,"p8178lhu71","asp_judg","std","gen",1
132,"pstctu83l8","asp_judg","std","gen",1
133,"pt8dna484n","asp_judg","std","gen",8
134,"prok04sj5l","asp_judg","std","gen",0
135,"phgd1fotld","asp_judg","std","gen",1
136,"p775e7r08j","asp_judg","std","gen",0
137,"p5f7h569tl","asp_judg","std","gen",1
138,"pjkmi6p483","asp_judg","std","gen",7
139,"p689b7tigi","asp_judg","std","gen",7
140,"p2cvf2j5ug","asp_judg","std","gen",8
141,"p2cvf2j5ug","asp_judg","std","gen",8
142,"ptmnc45138","asp_judg","std","gen",8
143,"p98vdnfo6t","asp_judg","std","gen",1
144,"pkqi59lujp","asp_judg","std","gen",8
145,"pbkjfru1lp","asp_judg","std","gen",2
146,"p8bjleaivo","asp_judg","std","gen",2
147,"pjtiuadl12","asp_judg","std","gen",2
148,"pmaoctfpvq","asp_judg","std","gen",7
149,"ps0k8ig481","asp_judg","std","gen",10
150,"pmjahfv0dm","asp_judg","std","gen",8
151,"pel92bgn51","asp_judg","std","gen",1
152,"p2qr5d02ht","asp_judg","std","gen",7
153,"pvojep7hrk","asp_judg","std","gen",6
154,"p5po8b0u17","asp_judg","std","gen",9
155,"phafivbdml","asp_judg","std","gen",7
156,"p2rebuo7c3","asp_judg","std","gen",10
157,"p3bja1q3il","asp_judg","std","gen",6
158,"p2805spq89","asp_judg","std","gen",4
159,"pss5736g4h","asp_judg","std","gen",10
160,"pfr0l0hae0","asp_judg","std","gen",1
161,"plgsronuv4","asp_judg","std","gen",2
162,"pslb800jja","asp_judg","std","gen",6
163,"p621b25c9i","asp_judg","std","gen",2
164,"p08fcnk0hj","asp_judg","std","gen",3
165,"pn1lf5g7qc","asp_judg","std","gen",8
166,"p1ro9fujga","asp_judg","std","gen",3
167,"pl1gu9l8m3","asp_judg","std","gen",1
168,"p7lla7nfcj","asp_judg","std","gen",4
169,"p4rv1f9uih","asp_judg","std","gen",10
170,"p8j43n1q2e","asp_judg","std","gen",2
171,"p99pd2g2hd","asp_judg","std","gen",4
172,"paah0tgdb0","asp_judg","std","gen",3
173,"prvfvtbati","asp_judg","std","gen",3
174,"pmchgjmkej","asp_judg","std","gen",6
175,"pm704fj6e7","asp_judg","std","gen",1
176,"p961d9h451","asp_judg","std","gen",10
177,"po1ihq75ko","asp_judg","std","gen",7
178,"pv0evsea4b","asp_judg","std","gen",1
179,"p6k4qd8b38","asp_judg","std","gen",3
180,"pga0e1dm62","asp_judg","std","gen",7
181,"pokleml5q2","asp_judg","std","gen",4
182,"pncjb3oc9h","asp_judg","std","gen",5
183,"po59r3bl5f","asp_judg","std","gen",2
184,"p90o1dab0u","asp_judg","std","gen",2
185,"po20cce0oc","asp_judg","std","gen",1
186,"pjaipfg4ug","asp_judg","std","gen",9
187,"p08sennfgv","asp_judg","std","gen",8
188,"pkgv8c3h3j","asp_judg","std","gen",1
189,"pp5ad6r9ka","asp_judg","std","gen",3
190,"pajlcbu2t0","asp_judg","std","gen",6
191,"pbueln0nn6","asp_judg","std","gen",3
192,"pmvrhv1aph","asp_judg","std","gen",0
193,"p7jvn0ukre","asp_judg","std","gen",1
194,"pdk8em8rrq","asp_judg","std","gen",2
195,"pf28ih4eu6","asp_judg","std","gen",10
196,"phtukonc17","asp_judg","std","gen",7
197,"p62e2ukh8m","asp_judg","std","gen",2
198,"pnur43f063","asp_judg","std","gen",6
199,"phvr676g54","asp_judg","std","gen",1
200,"paq7t1fa6i","asp_judg","std","gen",2
201,"pvmdov8kus","asp_judg","std","gen",10
202,"p3ruvk7t59","asp_judg","std","gen",0
203,"pgjsv4g3p0","asp_judg","std","gen",1
204,"pkpenn3v42","asp_judg","std","gen",2
205,"pc10skk9at","asp_judg","std","gen",7
206,"pd3dvjq6g7","asp_judg","std","gen",10
207,"p76482i33p","asp_judg","std","gen",2
208,"pes7cp1ohf","asp_judg","std","gen",1
209,"pti6f9gtnk","asp_judg","std","gen",1
210,"pi2gguep6a","asp_judg","std","gen",0
211,"pae1oh4880","asp_judg","std","gen",1
212,"pp6jirdmle","asp_judg","std","gen",8
213,"pjbuj9okvi","asp_judg","std","gen",7
214,"p2igo6qgaa","asp_judg","std","gen",6
215,"p1r1ko3a6n","asp_judg","std","gen",3
216,"p7g21du5hq","asp_judg","std","gen",2
217,"pcq9uj020s","asp_judg","std","gen",1
218,"pve9ncn9s6","asp_judg","std","gen",10
219,"po9c716m7i","asp_judg","std","gen",6
220,"pkovd8l667","asp_judg","std","gen",3
221,"p2chi38atk","asp_judg","std","gen",2
222,"pbv2l7v8b7","asp_judg","std","gen",7
223,"phnc8t6ol9","asp_judg","std","gen",1
224,"p2ss3vbadg","asp_judg","std","gen",3
225,"pl1jjs135f","asp_judg","std","gen",8
226,"p05gc4bgi5","asp_judg","std","gen",8
227,"pubvue9nof","asp_judg","std","gen",0
228,"ppq4ehuvoi","asp_judg","std","gen",5
229,"pcvfb8p5b5","asp_judg","std","gen",2
230,"pbo5rcjj99","asp_judg","std","gen",0
231,"pjiokntims","asp_judg","std","gen",3
232,"p420mfq59t","asp_judg","std","gen",6
233,"pkqk16c93v","asp_judg","std","gen",1
234,"p12d5mfv3i","asp_judg","std","gen",2
235,"pj761a7mlo","asp_judg","std","gen",8
236,"p6vnbnqvv2","asp_judg","std","gen",2
237,"p7ola58i6r","asp_judg","std","gen",1
238,"piheliu2iq","asp_judg","std","gen",7
239,"pfg9qmo3qm","asp_judg","std","gen",2
240,"pf0g5fnb18","asp_judg","std","gen",7
241,"papbma6ag3","asp_judg","std","gen",1
242,"pcq03ude4t","asp_judg","std","gen",8
243,"p5atb1nsd7","asp_judg","std","gen",7
244,"ponkvd5uhd","asp_judg","std","gen",4
245,"p1sq8rc5qo","asp_judg","std","gen",0
246,"pk1i57og54","asp_judg","std","gen",1
247,"pc6644v8tl","asp_judg","std","gen",1
248,"paeds93mh8","asp_judg","std","gen",6
249,"p0oa92mvhu","asp_judg","std","gen",0
250,"prsjqob67b","asp_judg","std","gen",8
251,"pn9dto7d9f","asp_judg","std","gen",6
252,"pheqv1o4bi","asp_judg","std","gen",7
253,"pdp9hri52g","asp_judg","std","gen",8
254,"php3113cce","asp_judg","std","gen",4
255,"ptqlp2k09d","asp_judg","std","gen",3
256,"pi3g5e91tk","asp_judg","std","gen",2
257,"ptu7m20por","asp_judg","std","gen",1
258,"psqq79u3er","asp_judg","std","gen",1
259,"pu5k586m01","asp_judg","std","gen",3
260,"po6didsknl","asp_judg","std","gen",1
261,"p876nerobm","asp_judg","std","gen",6
262,"pj0s9l55ia","asp_judg","std","gen",2
263,"p42e0m765p","asp_judg","std","gen",5
264,"pokc96mq5l","asp_judg","std","gen",9
265,"p349eel8nb","asp_judg","std","gen",2
266,"pt4ok81osa","asp_judg","std","gen",0
267,"pjmfaicge9","asp_judg","std","gen",0
268,"pf0ncrbiki","asp_judg","std","gen",0
269,"p9i1pcugbb","asp_judg","std","gen",8
270,"pq6mcgoqgt","asp_judg","std","gen",5
271,"pe996fld73","asp_judg","std","gen",2
272,"po2avet7op","asp_judg","std","gen",7
273,"p668rikpgd","asp_judg","std","gen",1
274,"p7fu4lbg42","asp_judg","std","gen",2
275,"ppbi6f89nl","asp_judg","std","gen",3
